,品目,単位,平均価格
193,サラダチキン,100g, 252
194,おでん,1kg, 768
195,ミートボール,100g, 137
196,緑茶,100g, 627
197,紅茶,10袋, 124
198,茶飲料,"1,000mL", 163
199,インスタントコーヒー,100g," 1,040"
200,コーヒー豆,100g, 304
201,コーヒー飲料セルフ式を除く。,"1,000mL", 176
202,果実飲料濃縮還元,"1,000mL", 418
203,果実飲料果汁20～50%,"1本･1,500mL", 251
204,野菜ジュース,1本･200mL, 117
205,コーラ,"1,000mL", 275
206,ノンアルコールビール,1パック･350mL×6, 737
207,炭酸水,1本･500mL, 96
208,スポーツドリンク,1本･500mL, 120
209,ミネラルウォーター配達を除く。,"1本･2,000mL", 129
210,豆乳,"1本･1,000mL", 239
211,ゼリー飲料,1個･180g, 199
212,清酒,"1本･2,000mL"," 1,106"
213,焼酎,"1本･1,800mL"," 1,758"
214,チューハイ,1缶･350mL, 136
215,ビール,1パック･350mL×6," 1,202"
216,発泡酒,1パック･350mL×6, 995
217,ビール風アルコール飲料,1パック･350mL×6, 933
218,ウイスキー,1本･700mL," 1,742"
219,ワイン国産品,1本･720mL, 569
220,ワイン輸入品,1本･750mL, 692
221,うどん外食,1杯, 792
222,日本そば外食,1枚, 770
223,中華そば外食,1杯, 606
224,ｽﾊﾟｹﾞｯﾃｨ外食,1皿, 714
225,すし外食にぎりずし,1人前," 1,770"
226,すし外食回転ずし,1皿, 215
227,天丼外食,1杯," 1,349"
228,カレーライス外食,1皿, 886
229,ぎょうざ外食,1皿, 384
230,ハンバーガー外食,1個, 247
231,牛丼外食,1杯, 486
232,ハンバーグ外食,1人前," 1,196"
233,豚カツ定食外食,1人前," 1,480"
234,しょうが焼き定食外食,1人前, 894
235,ピザ配達,1枚," 2,414"
236,焼肉外食,1人前," 1,068"
237,サンドイッチ外食,1皿, 784
238,コーヒー外食喫茶店,1杯, 620
239,コーヒー外食セルフサービス店,1杯, 294
240,ビール外食,1本･500mL, 664
241,やきとり外食,1本, 187
