品目,"うるち米単一原料米,｢コシヒカリ｣","うるち米単一原料米,｢コシヒカリ｣以外",食パン,あんパン,カレーパン,ゆでうどん,そうめん,ｽﾊﾟｹﾞｯﾃｨ,カップ麺,中華麺,小麦粉,もち,シリアル,塩さけ,たらこ,しらす干し,干しあじ,煮干し,ししゃも,いくら,塩さば,揚げかまぼこ,ちくわ,かまぼこ,かつお節,魚介漬物,魚介つくだ煮,魚介缶詰,牛肉国産品,牛肉輸入品,"豚肉国産品,バラ","豚肉輸入品,ロース",鶏肉,ハム,ソーセージ,ベーコン,味付け肉,牛乳,粉ミルク,バター,チーズ国産品,チーズ輸入品,ヨーグルト,鶏卵,干ししいたけ,干しのり,わかめ,こんぶ,ひじき,豆腐,油揚げ,納豆,こんにゃく,梅干し,だいこん漬,こんぶつくだ煮,はくさい漬,キムチ,野菜缶詰,ナッツ,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,つゆ・たれ焼肉のたれ,つゆ・たれめんつゆ,ふりかけ,合わせ調味料,パスタソース,香辛料,ようかん,まんじゅう,だいふく餅,カステラ,ケーキ,シュークリーム,ロールケーキ,プリン,ビスケット,キャンデー,せんべい,チョコレート,落花生,チューインガム,グミ,アイスクリーム,ポテトチップス,ゼリー,無菌包装米飯,弁当幕の内弁当,弁当からあげ弁当,弁当カツ丼,調理パン,おにぎり,冷凍米飯,すし弁当にぎりずし,すし弁当いなりずし,調理パスタ,調理ピザ,たこ焼き,うなぎかば焼き,焼き魚,サラダ,煮豆,きんぴら,焼豚,コロッケ,豚カツ,からあげ,やきとり,ハンバーグ,冷凍調理コロッケ,冷凍調理ハンバーグ,冷凍ぎょうざ,調理カレー,ぎょうざ,混ぜごはんのもと,サラダチキン,おでん,ミートボール,緑茶,紅茶,茶飲料,インスタントコーヒー,コーヒー豆,コーヒー飲料セルフ式を除く。,果実飲料濃縮還元,果実飲料果汁20～50%,野菜ジュース,コーラ,ノンアルコールビール,炭酸水,スポーツドリンク,ミネラルウォーター配達を除く。,豆乳,ゼリー飲料,清酒,焼酎,チューハイ,ビール,発泡酒,ビール風アルコール飲料,ウイスキー,ワイン国産品,ワイン輸入品,うどん外食,日本そば外食,中華そば外食,ｽﾊﾟｹﾞｯﾃｨ外食,すし外食にぎりずし,すし外食回転ずし,天丼外食,カレーライス外食,ぎょうざ外食,ハンバーガー外食,牛丼外食,ハンバーグ外食,豚カツ定食外食,しょうが焼き定食外食,ピザ配達,焼肉外食,サンドイッチ外食,コーヒー外食喫茶店,コーヒー外食セルフサービス店,ビール外食,やきとり外食
単位,1袋･5kg,1袋･5kg,1kg,100g,100g,1kg,1袋･300g,1kg,1個･78g,1kg,1袋･1kg,1袋･1kg,1kg,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,1缶･70g,100g,100g,100g,100g,100g,100g,100g,100g,100g,"1本･1,000mL",1缶･780g,1箱･200g,100g,1個･125g,1個･400g,1パック･10個,100g,1袋･10枚,100g,100g,100g,1kg,1kg,1パック･50g×3又は45g×3,1kg,1kg,1kg,1kg,1kg,1kg,1kg,100g,1本･900g,1kg,1袋･1kg,1本･450mL,1個･750g,1袋･1kg,1本･500mL,1本･500mL,1本･500g,1kg,1本･380mL,1個･150g,1箱･12皿分,1箱･148.8g,100g,1本･360g,1本･1L,1袋･52g,1箱･162g,100g,1箱･43g,100g,100g,100g,100g,1個,100g,1本,1個,100g,1袋,100g,100g,100g,1個･14粒,1袋･54～56g,1個･110mL,100g,100g,100g,1個,1個,1個,100g,1個,100g,1パック,1個,1袋･260～330g,1袋,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,1本,1パック･246g,100g,100g,100g,1箱･180g,100g,1箱･134g,100g,1kg,100g,100g,10袋,"1,000mL",100g,100g,"1,000mL","1,000mL","1本･1,500mL",1本･200mL,"1,000mL",1パック･350mL×6,1本･500mL,1本･500mL,"1本･2,000mL","1本･1,000mL",1個･180g,"1本･2,000mL","1本･1,800mL",1缶･350mL,1パック･350mL×6,1パック･350mL×6,1パック･350mL×6,1本･700mL,1本･720mL,1本･750mL,1杯,1枚,1杯,1皿,1人前,1皿,1杯,1皿,1皿,1個,1杯,1人前,1人前,1人前,1枚,1人前,1皿,1杯,1杯,1本･500mL,1本
平均価格," 5,115"," 4,935", 537, 128, 133, 630, 400, 655, 192, 491, 367, 942," 1,140", 327, 495, 796, 196, 383, 278," 2,552", 247, 142, 136, 217," 1,536", 328, 573, 156, 940, 367, 285, 173, 157, 245, 194, 262, 208, 261," 2,946", 586, 273, 925, 191, 314," 2,522", 674, 719, 970," 2,495", 285," 1,222", 102, 490," 2,433"," 1,076"," 3,327", 953," 1,078"," 1,506", 355, 394, 971, 129, 310, 400, 279, 137, 317, 264, 866, 298, 271, 323, 392, 287, 380, 319, 238, 212, 88, 190, 179, 147, 134, 250, 601, 186," 1,626", 167, 184, 221, 173, 391, 157, 175, 149, 292, 214, 69, 107, 632, 544, 581, 249, 182, 96, 883, 85, 286, 307, 124," 1,508", 396, 175, 159, 301, 248, 130, 259, 239, 134, 364, 167, 195, 93, 159, 135, 248, 252, 768, 137, 627, 124, 163," 1,040", 304, 176, 418, 251, 117, 275, 737, 96, 120, 129, 239, 199," 1,106"," 1,758", 136," 1,202", 995, 933," 1,742", 569, 692, 792, 770, 606, 714," 1,770", 215," 1,349", 886, 384, 247, 486," 1,196"," 1,480", 894," 2,414"," 1,068", 784, 620, 294, 664, 187
