品目,まぐろ,あじ,いわし,かつお,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,あさり,かき(貝),ほたて貝,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,もやし,ブロッコリー,アスパラガス,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,ながいも,しょうが,えだまめ,さやいんげん,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,えのきたけ,しめじ,カット野菜,りんご,みかん,オレンジ,しらぬひ,梨,ぶどう(デラウェア),ぶどう(巨峰),ぶどう(シャインマスカット),柿,桃,すいか,メロン,いちご,さくらんぼ,バナナ,キウイフルーツ,アボカド,パイナップル,切り花(カーネーション),切り花(きく),切り花(バラ)
単位,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,100g,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,(1本),(1本),(1本)
平均価格, 523, 142, 118, 267, 534, 159, 195, 725, 425, 242, 550, 374, 191, 503, 465, 200, 999, 240, 858, 462, 178, 674," 2,509", 689, 546," 1,043", 209, 545," 1,204", 473," 1,277", 950," 2,504"," 1,648"," 2,994", 679, 740, 790, 919," 1,210"," 1,879", 667, 852, 649, 879, 951, 720," 1,013"," 1,116"," 2,158"," 2,744"," 3,508", 705," 1,596", 602, 983," 2,335"," 4,362", 353," 1,246"," 1,145"," 1,515", 237, 288, 431
